Expérimentateur;Bande de fréquences;Fréquences attribuées (limite basse);Fréquences attribuées (limite haute);Numéro de la décision d'autorisation de l'Arcep;Lien de la décision d'autorisation de l'Arcep;Latitude;Longitude;Code INSEE;Commune;Département;Région;Début;Fin;Description;Techno - Massive MIMO;Techno - Beamforming/beamtracking;Techno - Duplexage temporel (mode TDD);Techno - Mode de fonctionnement NSA (Non Stand Alone);Techno - Mode de fonctionnement SA (Stand Alone);Techno - Synchronisation de réseaux;Techno - Network slicing;Techno - Small cells;Techno - Accès dynamique au spectre;Techno - 5G, 6G…;Usage - Mobilité connectée;Usage - Internet des objets;Usage - Ville intelligente;Usage - Réalité virtuelle;Usage - Télémédecine;Usage - Industrie du futur;Usage - Technique ou R&D;Usage - Autre
Obvios;2,6 GHz TDD;2575;2595;2024-0945;https://www.arcep.fr/uploads/tx_gsavis/24-0945.pdf;48,1359166666667;-1,62325;35051;Cesson-Sévigné;Ille-et-Vilaine;Bretagne;2024-04-22;2027-04-21;Expérimenation dans le cadre du projet « Smart Water Network » visant à développer et expérimenter une nouvelle solution de traitement des données s’appuyant sur les bénéfices de la 5G pour la gestion dynamique des réseaux d’eau. Une telle technologie permettrait ainsi une détection accrue des fuites afin de réduire le gaspillage d’eau potable, ou d’éviter une infection des sols par des eaux usées.;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1
Schneider Electric;3,8 GHz;3900;4000;2024-0624;https://www.arcep.fr/uploads/tx_gsavis/24-0624.pdf;45,20388888888889;5,709722222222222;38185;Grenoble;Isère;Auvergne-Rhône-Alpes;2024-03-12;2026-03-11;Test de performances de réseau sur des cas d’usages industriels : échanges de données entre machines, pilotage à distance. Test du Hand Over.;1;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;1;0
Qualcomm;26 GHz;26500;27500;2024-0778;https://www.arcep.fr/uploads/tx_gsavis/24-0778.pdf;48,7607194444444;-3,46724722222222;22113;Lannion;Côtes-d'Armor;Bretagne;2024-04-04;2025-04-03;Expérimentation de cas d'usage liés à l'internet des objets, la réalité virtuelle et augmentée;0;1;1;1;1;0;0;1;0;0;0;1;0;1;0;0;1;0
Dauphin Telecom;2,6 GHz TDD;2575;2615;2024-0782;https://www.arcep.fr/uploads/tx_gsavis/24-0782.pdf;16,2206666666667;-61,52975;97113;Le Gosier;Guadeloupe;Guadeloupe;2024-04-22;2025-04-21;L’expérimentation, permettra de préparer un prototype modele qui sera adaptable sur n’importe quelle marina. La finalité, permettra, aux propriétaires de marina, d’optimiser la gestion de leur site sur les aspects suivants : occupation des quais - réservation en ligne des emplacements - remontée des informations administratives du loueur pour transmission contrat de location et règlement - qualité des eaux et température - balise de repérage pour les plaisanciers et autres usagers de la mer proche du site,;0;0;1;0;1;0;0;0;0;1;0;1;1;0;0;0;1;0
Constellium;2,6 GHz TDD;2575;2595;2024-0697;https://www.arcep.fr/uploads/tx_gsavis/24-0697.pdf;48,0482222222222;7,56725;68036;Biesheim;Haut-Rhin;Grand Est;2024-03-28;2025-03-27;Expérimentation dans le cadre de nouveaux cas d'usage liés à l'industrie du future;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Axione;2,6 GHz TDD;2575;2615;2024-0946;https://www.arcep.fr/uploads/tx_gsavis/24-0946.pdf;48,81527777777777;2,3041666666666667;92046;Malakoff;Hauts-de-Seine;Île-de-France;2024-03-29;2025-03-28;Expérimentation dans le cadre de test de cas d'usage axés sur la transmission de données en upload pour un train en mobilité.;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0
IMT Nord Europe;3,8 GHz;3900;4000;2024-0783;https://www.arcep.fr/uploads/tx_gsavis/24-0783.pdf;50,386944444444445;3,0836111111111113;59178;Douai;Nord;Hauts-de-France;2024-04-22;2025-12-31;Développement de communications de type véhicule à véhicule ou à infrastructure. Le but de cette expérimentation est de tester des solutions d’échange d’informations en temps réel afin de mieux percevoir l’environnement et d’améliorer la sécurité sur un réseau 5G-NR privé en bande n°77.;0;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;1;0
Paris la Défense;26 GHz;26500;27300;2024-0777;https://www.arcep.fr/uploads/tx_gsavis/24-0777.pdf;48,8929416666667;2,23668333333333;92026;Courbevoie;Hauts-de-Seine;Île-de-France;2024-04-04;2026-04-03;La plateforme d’expérimentation 5G permettra à Paris La Défense et ses partenaires, d’expérimenter des usages inédits dans l’environnement urbain très dense du premier quartier d’affaires d’Europe. Ce dispositif devra permettre d’anticiper des scénarii de déploiement de la 5G, d'expérimenter des cas d’usages jugés stratégiques et de tester la faisabilité et la viabilité d’un nouveau modèle : un schéma d’opérateur neutre, installant des antennes dans les bâtiments ou mobiliers urbains et commercialisant un accès clé en main aux opérateurs qui viendraient y apporter leur réseau.;0;0;1;1;0;0;0;1;0;0;1;1;1;0;0;0;1;1
Team Henry Fabre;3,8 GHz;3800;3900;2024-1043;https://www.arcep.fr/uploads/tx_gsavis/24-1043.pdf;43,40383333333333;5,205277777777778;13054;Marignane;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;2024-05-02;2027-05-01;L'espérimentation permettra d'accompagner les PMI/ETI à découvrir et implémenter les opportunités de la 5G dans leur propre process, la TEAM Henri-Fabre met à disposition un réseau 5G privé au technocentre de Marignane.;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0
Thales;2,6 GHz TDD;2575;2615;2024-1141;https://www.arcep.fr/uploads/tx_gsavis/24-1141.pdf;47,07780555555556;-0,8721944444444445;49099;Cholet;Maine-et-Loire;Pays de la Loire;2024-05-21;2026-12-31;L'expérimentation consiste à tester dans des conditions réelles et à grande échelle l’usage d’un réseau très haut débit permettant d’améliorer la performance industrielle ainsi que d’explorer les usages de l’industrie du futur;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0
Thales;3,8 GHz;3900;4000;2024-1142;https://www.arcep.fr/uploads/tx_gsavis/24-1142.pdf;47,07669444444445;-0,8706111111111111;49099;Cholet;Maine-et-Loire;Pays de la Loire;2024-05-22;2026-12-31;L'expérimentation consiste à tester dans des conditions réelles et à grande échelle l’usage d’un réseau très haut débit permettant d’améliorer la performance industrielle ainsi que d’explorer les usages de l’industrie du futur;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0
Luceor;3,8 GHz;3900;4000;2024-1157;https://www.arcep.fr/uploads/tx_gsavis/24-1157.pdf;49,47944444444445;0,1676388888888889;76351;Le Havre;Seine-Maritime;Normandie;2024-05-22;2027-05-21;L'expérimentation consiste à tester des cas d'usage liés à la manutention portuaire;0;0;1;0;1;0;1;1;0;1;1;0;0;0;0;1;0;0
CNES;2,6 GHz TDD;2575;2615;2024-1762;https://www.arcep.fr/uploads/tx_gsavis/24-1762.pdf;5,171291;-52,680494;97304;Kourou;Guyane;Guyane;2024-09-01;2025-08-31;Le CSG et Axians expérimentent les usages de la 5G privée dans le cadre de la transformation numérique du CNES. Axians installe et forme le CNES sur un réseau 5G privé et ses services comme les comm. critiques, la liaison téléphonie, la remontée des alarmes;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0
Terminal Gestion Conteneurs;2,6 GHz TDD;2575;2595;2024-1763;https://www.arcep.fr/uploads/tx_gsavis/24-1763.pdf;-20,929688;55,315862;97407;Le Port;La Réunion;La Réunion;2024-09-01;2025-04-30;Créer une couverture en 4G privée sur la bande B38, à partir de trois bornes de type BAICELLS, sur une surface de 0,6Km². S’assurer que la qualité et l’intensité du signal soit satisfaisante, malgré un environnement possédant d’importantes structures métallique mobiles (conteneurs, portiques, navires), avant pérennisation de l’infrastructure;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
Nokia Networks France;3,8 GHz;3900;4100;2024-1479;https://www.arcep.fr/uploads/tx_gsavis/24-1479.pdf;48,66583333333333;2,2399722222222223;91458;Nozay;Essonne;Île-de-France;2024-06-25;2025-06-24;Test de cas d'usage 5G;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Bouygues Telecom;26 GHz;26500;26900;2024-1054;https://www.arcep.fr/uploads/tx_gsavis/24-1054.pdf;45,7615305555556;4,85896111111111;69123;Lyon;Rhône;Auvergne-Rhône-Alpes;2024-05-03;2025-05-02;Expérimentations dans le cadre de nouveaux ca d'usage liés à des applications de réalité augmentée ou de vidéochat en réalité mixte,;0;1;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;1
Bouygues Telecom;26 GHz;26500;26900;2024-1054;https://www.arcep.fr/uploads/tx_gsavis/24-1054.pdf;48,7877;2,219075;78640;Vélizy-Villacoublay;Yvelines;Île-de-France;2024-05-03;2025-05-02;Expérimentations dans le cadre de nouveaux ca d'usage liés à des applications de réalité augmentée ou de vidéochat en réalité mixte,;0;1;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;1
Bouygues Telecom;26 GHz;26500;26900;2024-1054;https://www.arcep.fr/uploads/tx_gsavis/24-1054.pdf;48,7876777777778;2,22463055555556;92048;Meudon;Hauts-de-Seine;Île-de-France;2024-05-03;2025-05-02;Expérimentations dans le cadre de nouveaux ca d'usage liés à des applications de réalité augmentée ou de vidéochat en réalité mixte,;0;1;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;1
SNCF;2,6 GHz TDD;2595;2615;2024-1158;https://www.arcep.fr/uploads/tx_gsavis/24-1158.pdf;48,105000000000004;-1,636388888888889;35238;Rennes;Ille-et-Vilaine;Bretagne;2024-05-22;2027-05-21;Expérimentation dans le cadre de nouveaux cas d'usage;1;0;1;1;1;0;0;0;0;0;0;1;0;1;0;1;1;0
Eurecom;2,6 GHz TDD;2575;2615;2024-1415;https://www.arcep.fr/uploads/tx_gsavis/24-1415.pdf;43,61416666666667;0,07111111111111111;06018;Biot;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;2024-06-20;2026-06-19;Expérimentation dans le cadre de nouveaux cas d'usage - Site d’expérimentation Européen pour les technologies cellulaires 5G/6G;0;0;0;0;1;0;1;0;0;1;1;1;1;1;0;1;1;0
Eurecom;3,8 GHz;3900;4000;2024-1159;https://www.arcep.fr/uploads/tx_gsavis/24-1159.pdf;43,61416666666667;0,07111111111111111;06018;Biot;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;2024-06-01;2026-05-31;Expérimentation dans le cadre de nouveaux cas d'usage - Site d’expérimentation Européen pour les technologies cellulaires 5G/6G;0;0;0;0;1;0;1;0;0;1;1;1;1;1;0;1;1;0
Eiffage Energie Systèmes;2,6 GHz TDD;2595;2615;2024-1414;https://www.arcep.fr/uploads/tx_gsavis/24-1414.pdf;45,68;4,961666666666667;69290;Saint-Priest;Rhône;Auvergne-Rhône-Alpes;2024-06-20;2025-06-19;Expérimentationx techniques de la 5G et évaluation de fonctionnalités IoT;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0
Firecell;3,8 GHz;3800;3900;2024-1413;https://www.arcep.fr/uploads/tx_gsavis/24-1413.pdf;43,61416666666667;0,07083333333333333;06018;Biot;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;2024-06-20;2027-06-19;Expérimentations pour tester des cas d'usage;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0
ArcelorMittal France;2,6 GHz TDD;2575;2585;2024-1229;https://www.arcep.fr/uploads/tx_gsavis/24-1229.pdf;43,43194444444444;4,89722222222222;13039;Fos-sur-Mer;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;2024-05-31;2027-05-30;Expérimentation dans le cadre de nouveaux cas d'usage;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Excelcar;3,8 GHz;3900;4000;2024-1316;https://www.arcep.fr/uploads/tx_gsavis/24-1316.pdf;48,05916666666666;-0,7127777777777777;35066;Chartres-de-Bretagne;Ille-et-Vilaine;Bretagne;2024-06-10;2027-06-09;Le Campus GO>5GI EXCELCAR a pour objectif d’accélérer la transformation numérique de l’industrie. De nombreux cas d’usages, de l’opérateur au robot connecté, vont être développés et qualifiés sur la Plateforme en conditions industrielles réelles.;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0
SFR;26 GHz;26700;27500;2024-1481;https://www.arcep.fr/uploads/tx_gsavis/24-1481.pdf;48,7828;2,20852472222222;78640;Vélizy-Villacoublay;Yvelines;Île-de-France;2024-07-01;2024-12-31;Expérimentation dans le cadre de nouveaux cas d'usage;0;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0
Obvios;3,8 GHz;3800;3900;2024-1632;https://www.arcep.fr/uploads/tx_gsavis/24-1632.pdf;48,120555555555555;-1,6247222222222222;35051;Cesson-Sévigné;Ille-et-Vilaine;Bretagne;2024-09-01;2027-08-31;Expérimentations pour tester des cas d'usage;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
B-COM;3,8 GHz;3900;4000;2024-1633;https://www.arcep.fr/uploads/tx_gsavis/24-1633.pdf;47,69288888888889;-1,6874722222222223;44051;Derval;Loire-Atlantique;Pays de la Loire;2024-09-10;2024-12-31;L’expérimentation a pour but de tester la 5G dans un environnement agricole et montrer aux parties prenantes, de ce secteur d’activité l’intérêt d’une telle technologie dans leur quotidien, afin d’avoir une connectivité haut débit, fiable et sécurisée pour les cas d’usages associés.;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
JVE Radiocommunications;2,6 GHz TDD;2575;2595;2024-1580;https://www.arcep.fr/uploads/tx_gsavis/24-1580.pdf;45,21805555555556;6,721111111111111;73248;Saint-Jean-de-Maurienne;Savoie;Auvergne-Rhône-Alpes;2024-07-22;2025-03-31;L’expérimentation vise à démontrer l’efficacité spectrale de la 5 G privée dans le cadre de communications critiques et d’échange de données importantes (usage professionnel , video surveillance ) dans les milieux confinés non couverts par les opérateurs nationaux , oubien couverts par les opérateurs nationaux mais ne disposant pas d’une capacité de fonctionnement dégradée en cas de courtes et longue coupure d’énergie;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
Airbus Atlantic;3,8 GHz;3900;4000;2024-1910;https://www.arcep.fr/uploads/tx_gsavis/24-1910.pdf;49,98444444444444;2,6777777777777776;80523;Méaulte;Somme;Hauts-de-France;2024-09-01;2025-09-01;L'objectif de cette expérimentation est de déployer un réseau 5G privatif capable de localiser les outils avec une précision inférieure à 1m, tout en permettant d'écouler le traffic sans fil critique d'Airbus Atlantic,;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
Selecom critical comms;3,8 GHz;3900;4000;2024-2014;https://www.arcep.fr/uploads/tx_gsavis/24-2014.pdf;42,62269444444445;2,443277777777778;66149;Prades;Pyrénées-Orientales;Occitanie;2024-09-09;2026-12-31;le groupe SEE CRITICAL COMMS a besoin de tester ses produits et solutions avec les objectifs suivants : Tester et qualifier les répéteurs 5G développés par le groupe ainsi que leurs antennes associées. Ces produits seront proposés aux intégrateurs et intégrés dans des réseaux destinés aux entreprises et aux collectivités. - Mettre en place un banc de tests 5G privé en N77 pour évaluer les nouvelles solutions applicatives développées par le groupe, répondant ainsi aux besoins de leurs clients, principalement pour des bulles tactiques.;1;0;0;0;1;0;0;1;0;1;0;1;0;0;0;1;1;0
Obvios;3,8 GHz;3900;4000;2024-2004;https://www.arcep.fr/uploads/tx_gsavis/24-2004.pdf;48,82341666666667;2,4514444444444448;75112;Paris;Paris;Île-de-France;2024-09-15;2024-12-31;Le projet permet d’expérimenter un déploiement à la demande et à moindre coût d’une bulle de connectivité 5G privée sur un hippodrome. Ce réseau sécurisé et performant offre de nouvelles perspectives aux équipes deproduction et permet de sécuriser la production et la distribution de contenus de qualité dans un contexte de manifestation hippique.;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
Luceor;3,8 GHz;3900;4000;2024-2003;https://www.arcep.fr/uploads/tx_gsavis/24-2003.pdf;43,41008333333333;4,845416666666666;13039;Fos-sur-Mer;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;2024-08-01;2025-07-31;LUCEOR et son partenaire EUROFOS ambitionnent de couvrir le Port en réseau cellulaire de type 5G privée. L’enjeu est d’expérimenter le remplacement des réseaux existants jugés trop limités et trop coûteux. À la place, le personnel seraient tous dotés d’un terminal de type smartphone durci capable de recevoir et d’émettre tous types de communication, mais aussi de s’interfacer avec des solutions tierces en cloud. Et les cavaliers seraient dotés d’un système de détection et d’évitement qui réduit très considérablement le risque d’accidents dans les zones d’activité du port.;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
B-COM;3,8 GHz;3900;4000;2024-2021;https://www.arcep.fr/uploads/tx_gsavis/24-2021.pdf;48,10761111111111;-1,7145555555555556;35000;;;;2024-10-01;2024-12-31;L’expérimentation a pour but de tester la 5G dans un environnement d’hôpital de campagne pour assurer une connectivité sans fil entre les équipements médicaux afin d’améliorer les temps de mise en place opérationnelle d’une tente de soins;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
SNCF Réseau;3,8 GHz;3900;4000;2024-2044;https://www.arcep.fr/uploads/tx_gsavis/24-2044.pdf;48,07033333333334;-1,70125;35000;;;;2024-09-21;2027-09-20;Expérimentation dans le cadre de la plateforme Living Labs, qui vise à tester des usages liés aux voyageurs et aux expertises SNCF, en gare et en milieu industriel. Le Living Labs 5G a pour objectif d’être une plateforme d’innovation ouverte à des entreprises extérieures pour la mise en place d’expérimentations.;1;1;1;0;1;1;1;1;0;0;0;1;0;1;0;1;0;0
CEA;3,8 GHz;3900;4000;2024-2078;https://www.arcep.fr/uploads/tx_gsavis/24-2078.pdf;45,71425;4,882833333333334;69200;Saint-Forgeux;Rhône;Auvergne-Rhône-Alpes;2024-10-14;2024-10-17;Le consortium PI5G est chargé d'explorer les nouvelles possibilités offertes par la 5G en matière d'expériences immersives. Les tests ici concernent un système de télé robotique à retour d'effort contrôlé par un opérateur immergé dans l'environnement en XR,;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
Cogisys;2,6 GHz TDD;2575;2615;2024-2020;https://www.arcep.fr/uploads/tx_gsavis/24-2020.pdf;48,824444444444445;2,265;92040;Issy-les-Moulineaux;Hauts-de-Seine;Île-de-France;2024-10-01;2027-09-30;Tests de nouveaux cas d'usage;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0
B-COM;3,8 GHz;3900;4000;2024-2043;https://www.arcep.fr/uploads/tx_gsavis/24-2043.pdf;47,7565;-3,3505277777777778;56121;Lorient;Morbihan;Bretagne;2024-10-01;2024-12-31;L’expérimentation a pour but de tester la 5G privée dans différentes étapes de construction d’un navire et de mesurer le niveau de champs rayonné. Des cas d’usages smart industries permettront de démontrer les avantages;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0
B-COM;3,8 GHz;3900;4000;2024-2042;https://www.arcep.fr/uploads/tx_gsavis/24-2042.pdf;43,10861111111111;5,8813055555555565;83126;La Seyne-sur-Mer;Var;Provence-Alpes-Côte d'Azur;2024-10-15;2024-12-31;L’expérimentation a pour but de tester la 5G dans un environnement d’un navire, de mesurer le niveau de champs rayonnés dans le bateau lorsque le réseau 5G est à bord du bateau (bateau en autonomie sur la connectivité 5G);0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0
Transatel;3,8 GHz;3900;4000;2024-2147;https://www.arcep.fr/uploads/tx_gsavis/24-2147.pdf;48,89111111111111;2,2466666666666666;92400;;;;2024-10-05;2027-10-05;L’objectif est de mettre en place cette infrastructure début octobre 2024 afin de valider différents cas d’usages autour de la 5G Stand Alone (5G SA), en particulier autour de l’Industrie 4.0, Il s’agira également de pouvoir tester différentes capacités d’hybridation entre réseau mobile privé et réseaux mobiles publics. Les derniers tests d’intérêts seront autour des interconnections roaming entre réseaux publics et privés ainsi que des solutions de eSIM public/privés (QR code d’accès avec fluidification du parcours d’on-boarding) et les SMS offnet;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0
B-COM;2,6 GHz TDD;2575;2615;2024-2181;https://www.arcep.fr/uploads/tx_gsavis/24-2181.pdf;47,75425;-3,3503055555555554;56121;Lorient;Morbihan;Bretagne;2024-10-01;2024-12-31;L’expérimentation a pour but de tester la 5G privée dans différentes étapes de construction d’un navire et de mesurer le niveau de champs rayonné. Des cas d’usages smart industries permettront de démontrer les avantages de l’utilisation d’un réseau privé 5G.;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0
B-COM;2,6 GHz TDD;2575;2615;2024-2180;https://www.arcep.fr/uploads/tx_gsavis/24-2180.pdf;43,10916666666667;5,8813611111111115;83126;La Seyne-sur-Mer;Var;Provence-Alpes-Côte d'Azur;2024-10-15;2024-12-31;L’expérimentation a pour but de tester la 5G dans un environnement d’un navire, de mesurer le niveau de champs rayonnés dans le bateau lorsque le réseau 5G est à bord du bateau (bateau en autonomie sur la connectivité 5G);1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0
Renault;3,8 GHz;3900;4000;2024-2252;https://www.arcep.fr/uploads/tx_gsavis/24-2252.pdf;50,361333333333334;3,0289444444444444;59329;Lambres-lez-Douai;Nord;Hauts-de-France;2024-10-14;2027-10-13;Expérimentation 5G pour l’industrie et le véhicule connectée.;1;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0
Hub One;3,8 GHz;3900;4000;2024-2148;https://www.arcep.fr/uploads/tx_gsavis/24-2148.pdf;49,009972222222224;2,554305555555555;93073;Tremblay-en-France;Seine-Saint-Denis;Île-de-France;2024-09-30;2027-10-11;Dans le cadre de la journée de l’aéro, Hub One réalise des démonstrations de cas d’usage 5G professionnels pour les milieux aéroportuaires et industriels.;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Airmob Infra Full;3,8 GHz;3800;3900;2024-2251;https://www.arcep.fr/uploads/tx_gsavis/24-2251.pdf;49,25983333333333;1,187138888888889;27701;Val-de-Reuil;Eure;Normandie;2024-10-30;2027-10-29;Tests de cas d'usage 5G;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0
MGA Technologies;2,6 GHz TDD;2575;2615;2024-2195;https://www.arcep.fr/uploads/tx_gsavis/24-2195.pdf;45,85447222222222;4,699638888888889;69059;Civrieux-d'Azergues;Rhône;Auvergne-Rhône-Alpes;2024-10-02;2025-10-01;Déploiement d’un réseau privé 5G au sein du nouveau Lab de la société MGA Technologies créateur de machines sur-mesure pour l'industrie du futur. Ce Lab permettra d’expérimenter un réseau 5G en environnement industriel et de développer des prototypes de cas d’usage. Il servira également de showcase pour les clients et promouvra la 5G;0;0;0;0;1;0;1;1;0;1;0;1;0;1;0;0;0;0
